ts,thrust_in_g
-9.574787378311157,-1
-9.482523679733276,0
-9.39001989364624,0
-9.297538042068481,0
-9.205036878585815,0
-9.112552881240845,0
-9.020003318786621,0
-8.927527904510498,-1
-8.835198879241943,0
-8.742721319198608,1
-8.650219440460205,-1
-8.557907104492188,-1
-8.465416669845581,0
-8.372935771942139,0
-8.280428409576416,-1
-8.188129425048828,-1
-8.095621109008789,-1
-8.003145933151245,-1
-7.910808563232422,0
-7.818336248397827,0
-7.725837230682373,-1
-7.633470296859741,-1
-7.54101824760437,-1
-7.448547124862671,0
-7.3560450077056885,-2
-7.263691663742065,-1
-7.171238660812378,-1
-7.078684568405151,-1
-6.986426591873169,-1
-6.893905401229858,0
-6.801446199417114,-1
-6.709120035171509,-1
-6.61664080619812,0
-6.524136304855347,-1
-6.431659460067749,-1
-6.339324951171875,0
-6.2468485832214355,0
-6.154346704483032,0
-6.06186580657959,0
-5.969543695449829,-1
-5.877090930938721,1
-5.784771203994751,2
-5.692290544509888,2
-5.599791765213013,0
-5.507309436798096,-2
-5.414982080459595,-1
-5.32250189781189,0
-5.229998826980591,-1
-5.137511491775513,0
-5.0451929569244385,0
-4.952692985534668,0
-4.86020565032959,-1
-4.767871379852295,-1
-4.675395488739014,-1
-4.582911491394043,-1
-4.490548372268677,-1
-4.398084402084351,-1
-4.305596590042114,-1
-4.2131264209747314,0
-4.120600461959839,0
-4.028303623199463,0
-3.935760021209717,0
-3.843334436416626,-1
-3.750826120376587,1
-3.658351182937622,0
-3.5658504962921143,0
-3.4735262393951416,0
-3.38104248046875,-1
-3.2885642051696777,-2
-3.196242332458496,-1
-3.10373592376709,0
-3.0112557411193848,0
-2.918909788131714,-1
-2.8264379501342773,-1
-2.7339398860931396,0
-2.641464948654175,0
-2.54913067817688,-1
-2.456655740737915,-2
-2.3641035556793213,-2
-2.271803855895996,-2
-2.1793031692504883,-1
-2.086822748184204,0
-1.994323968887329,-1
-1.9018445014953613,-1
-1.809363603591919,-1
-1.7170305252075195,-1
-1.6245319843292236,-1
-1.5320701599121094,-1
-1.4395513534545898,-1
-1.3470678329467773,-1
-1.2547340393066406,-2
-1.16227126121521,-1
-1.0697638988494873,-1
-0.9774181842803955,-2
-0.8849399089813232,-1
-0.7924227714538574,-2
-0.7001454830169678,0
-0.6076605319976807,1
-0.5151612758636475,-1
-0.42267823219299316,-2
-0.3301708698272705,-2
-0.23769903182983398,-2
-0.1453721523284912,-1
-0.052892208099365234,-2
0.03961658477783203,-3
0.1320817470550537,-3
0.2246081829071045,-1
0.3170745372772217,0
0.40940141677856445,-2
0.5018789768218994,-2
0.594393253326416,-1
0.6868605613708496,-1
0.7793662548065186,-1
0.8716721534729004,0
0.9641728401184082,-1
1.0566697120666504,-1
